Clf-Fitur,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Fold 6,Fold 7,Fold 8,Fold 9,Fold 10,Avg
MULTI_NB-BINER,92.74,92.25,88.38,92.2,90.01,89.92,87.55,87.71,86.16,89.53,89.64
MULTI_NB-COUNT,90.01,91.13,88.38,92.22,88.89,91.91,87.1,90.58,84.51,91.74,89.65
GAUSS_NB-TFIDF,66.26,69.52,69.17,71.86,79.77,67.02,69.16,63.76,63.25,71.92,69.17
SVM_LIN-BINER,92.9,94.5,95.07,90.54,90.8,91.42,91.69,91.05,94.03,91.76,92.38
SVM_LIN-COUNT,94.16,95.05,94.53,92.22,91.32,92.9,92.25,92.66,92.34,92.87,93.03
SVM_LIN-TFIDF,95.28,93.39,95.13,94.87,93.04,94.51,92.67,91.99,89.57,93.98,93.44
LOG_REG-BINER,94.29,93.94,92.84,91.65,91.84,92.66,88.9,91.52,90.03,91.76,91.94
LOG_REG-COUNT,93.53,93.38,93.42,92.74,91.84,93.78,88.35,93.13,90.65,93.42,92.42
LOG_REG-TFIDF,92.74,92.27,91.77,92.16,89.5,94.29,88.88,90.85,88.85,91.19,91.25
